bookID,title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,Year,publisher,Publisher trim,Publisher clean,Left function
11932,Prodigal Summer,Barbara Kingsolver,4,444,88241,5652,16/10/2001,2001,Gollancz,,,
18829,The Cairo Trilogy: Palace Walk / Palace of Desire / Sugar Street (The Cairo Trilogy #1-3),Naguib Mahfouz,4.46,1313,3347,245,16/10/2001,2001,Mariner Books,,,
41667,An Hour Before Daylight: Memories of a Rural Boyhood,Jimmy Carter,3.91,288,1935,229,16/10/2001,2001,W. W. Norton  Company,,,
3770,Star Wars: Underworld - The Yavin Vassilika,Mike Kennedy/Carlos Meglia,3.35,120,83,6,16/10/2001,2001,Dark Horse Books,,,
7845,Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,3.93,194,6,0,15/10/2001,2001,Everyman's Library,,,
4625,The Dastard (Xanth #24),Piers Anthony,3.81,384,3009,28,14/10/2001,2001,Harper Perennial,,,
12477,Strange Sounds: Music  Technology & Culture,Timothy D. Taylor,3.77,278,26,0,14/10/2001,2001,Simon  Schuster,,,
16076,Even Cowgirls Get the Blues,Tom Robbins,3.76,366,44664,1483,11/10/2001,2001,Polity Press,,,
23000,Ghosts and Grisly Things,Ramsey Campbell/Jack Dann/Dennis Etchison,3.73,300,202,14,11/10/2001,2001,Routledge,,,
20807,Unleashing the Ideavirus: Stop Marketing AT People! Turn Your Ideas into Epidemics by Helping Your Customers Do the Marketing thing for You.,Seth Godin/Malcolm Gladwell,3.98,234,4600,88,10/10/2001,2001,Tor Books,,,
27368,Ghostwritten,David Mitchell,4.05,426,20880,1728,09/10/2001,2001,Tor Books,,,
37877,When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,4.19,264,20145,530,09/10/2001,2001,No Exit Press,,,
32626,The Treasure Principle: Unlocking the Secret of Joyful Giving,Randy Alcorn,4.13,120,4088,290,09/10/2001,2001,Hachette Books,,,
37481,A Light in the Attic (Book & CD),Shel Silverstein,4.34,176,597,21,09/10/2001,2001,Harmony,,,
2296,ãƒ’ã‚«ãƒ«ã®ç¢ 14ã€sai vs toya koyo,Yumi Hotta/Yumi Hotta,4.23,189,331,6,09/10/2001,2001,Modern Library,,,
3867,Mansfield Park,Jane Austen/Carol Shields,3.86,420,328,38,09/10/2001,2001,é›†è‹±ç¤¾,,,
15812,Inconceivable: A Woman's Triumph Over Despair and Statistics,Julia Indichova/Christiane Northrup,3.83,224,170,25,09/10/2001,2001,HarperCollins,,,
2166,Les Deux Tours (Le Seigneur des Anneaux  #2),J.R.R. Tolkien/Francis Ledoux,4.44,471,75,2,08/10/2001,2001,Random House Trade Paperbacks,,,
23438,A Friend of the Earth,T. Coraghessan Boyle,3.67,275,30,3,08/10/2001,2001,Multnomah,,,
